Date,Unemployment,Interest rate,Inflation,Money supply,Price Index,KOSPI,Housholds,Completion,Land price,Loan interest,Unsold home,Volume,House_price_index
2014년 08월,3.3,2.5,2.1,7.6,99.7,2060.9,4190234,2665,77.9,3.5,2362,6806,79
2014년 09월,3.1,2.4,1.7,7.1,99.6,2042.7,4191220,5539,78.2,3.5,1797,9052,79.6
2014년 10월,3.2,2.2,1.6,7.5,99.3,1942.8,4192205,6562,78.4,3.4,1724,11161,80.1
2014년 11월,3,2.1,1.3,8.3,99.1,1959.7,4193191,7315,78.5,3.3,1522,8630,80.2
2014년 12월,3.3,2.1,1.4,8.1,99.1,1941.9,4194176,3441,78.7,3.3,1356,6956,80
2015년 01월,3.7,2.1,2.4,8,99.8,1921,4193824,3646,78.8,3.3,1497,6860,80.4
2015년 02월,4.5,2.1,2.4,8,99.7,1961,4193471,4541,79,3.2,1238,8682,81
2015년 03월,4,2,2.4,8.3,99.7,2012.6,4193119,7960,79.1,3,1064,13602,81.9
2015년 04월,3.9,1.8,2.3,9,99.8,2107.3,4192767,5690,79.3,2.8,987,14234,82.7
2015년 05월,3.7,1.8,2.2,9.3,100,2114.9,4192414,4599,79.5,3.1,976,12903,83.2
2015년 06월,3.8,1.7,2.2,9,100.1,2063.7,4192062,9916,79.7,3,638,11762,83.9
2015년 07월,3.6,1.7,2.5,9.3,100.2,2058,4191710,15593,79.9,3,482,12414,84.8
2015년 08월,3.4,1.6,2.6,9.2,100.4,1952.6,4191357,8472,80,2.9,317,10799,85.5
2015년 09월,3.2,1.6,2.4,9.4,100.1,1939.6,4191005,11161,80.2,2.9,251,9357,86.1
2015년 10월,3.1,1.6,2.5,8.8,100.1,2020.6,4190653,11408,80.4,2.9,264,11852,86.7
2015년 11월,3,1.6,2.6,7.7,99.9,2006.8,4190300,0,80.6,3,241,10334,86.9
2015년 12월,3.2,1.7,2.6,7.5,100.2,1971.5,4189948,18249,80.8,3.1,494,8614,86.5
2016년 01월,3.7,1.7,1.8,8.1,100.4,1894.7,4189939,5586,80.9,3.1,737,5549,86.2
2016년 02월,4.9,1.6,1.9,8.3,100.8,1900.6,4189930,5874,81.1,3,884,5193,86.3
2016년 03월,4.2,1.6,1.9,7.8,100.6,1976.5,4189921,4298,81.3,3,788,7231,86.5
2016년 04월,3.9,1.6,2,7,100.8,1996.2,4189912,10759,81.4,2.9,651,8629,86.7
2016년 05월,3.6,1.6,2,6.7,100.8,1966.7,4189903,4872,81.7,2.9,507,10710,87.3
2016년 06월,3.6,1.4,2.1,7.1,100.8,1977,4189894,5066,81.9,2.8,409,11974,88.3
2016년 07월,3.5,1.4,1.8,6.9,100.6,2002.5,4189884,10030,82.1,2.7,426,14545,89.6
2016년 08월,3.6,1.4,1.8,7.2,100.9,2036.7,4189875,6197,82.3,2.7,372,12784,90.5
2016년 09월,3.5,1.3,2,6.9,101.5,2042.6,4189866,3382,82.6,2.8,327,11342,91.6
2016년 10월,3.3,1.4,1.9,7.1,101.6,2036,4189857,4610,82.8,2.9,283,13467,92.8
2016년 11월,3.1,1.4,1.7,7.3,101.5,1981.8,4189848,4894,83,3,268,11528,92.6
2016년 12월,3.2,1.5,1.6,7.5,101.6,2021.7,4189839,9171,83.2,3.1,274,9654,92
2017년 01월,3.7,1.5,1.8,6.9,102.6,2061.7,4192359,5102,83.4,3.2,205,4627,91.6
2017년 02월,4.9,1.5,1.8,5.9,102.9,2082.8,4194880,9407,83.6,3.2,187,4760,91.8
2017년 03월,4.1,1.5,1.7,6.2,102.9,2136.2,4197400,7157,83.8,3.2,200,6802,92.4
2017년 04월,4.2,1.4,1.6,6.6,102.7,2160.2,4199920,7628,84.1,3.2,157,7858,92.7
2017년 05월,3.6,1.4,1.5,6.1,102.8,2301.9,4202440,5114,84.5,3.3,119,10586,93.9
2017년 06월,3.8,1.4,1.5,5.9,102.6,2372.2,4204961,6017,84.9,3.2,64,14918,95.5
2017년 07월,3.4,1.4,1.5,5.1,102.8,2412.9,4207481,8699,85.4,3.3,41,15168,97.6
2017년 08월,3.6,1.4,1.5,4.6,103.4,2372.2,4210001,7373,85.7,3.3,39,15421,98.1
2017년 09월,3.3,1.4,1.4,4.6,103.5,2371.8,4212521,16962,86,3.2,75,8652,98.6
2017년 10월,3.2,1.4,1.6,4.7,103.4,2482.9,4215042,15824,86.2,3.3,56,3942,99.3
2017년 11월,3.1,1.5,1.3,4.8,102.6,2533.5,4217562,7797,86.5,3.4,68,6679,100
2017년 12월,3.3,1.7,1.4,4.7,103,2467.7,4220082,16051,86.8,3.4,45,8484,100.8
2018년 01월,3.7,1.7,1,5.5,103.4,2520.9,4221841,5694,87.2,3.5,45,9938,102.9
2018년 02월,4.6,1.7,1.2,6.2,104.2,2439.1,4223600,3504,87.5,3.5,48,11986,105.1
2018년 03월,4.5,1.7,1.3,5.8,104.1,2451.6,4225359,4361,87.9,3.5,48,14609,106.4
2018년 04월,4.1,1.7,1.4,5.7,104.3,2458.2,4227118,5291,88.2,3.5,47,6535,107.8
2018년 05월,4,1.7,1.4,5.9,104.3,2461.3,4228877,5490,88.5,3.5,47,5697,108.2
2018년 06월,3.7,1.7,1.3,6.1,104.1,2394.5,4230637,3625,88.9,3.5,47,4830,109
2018년 07월,3.7,1.7,1,6.7,103.9,2284.3,4232396,6305,89.4,3.4,42,5852,110.5
2018년 08월,4,1.7,1,6.7,104.9,2283.8,4234155,4296,89.9,3.4,39,7687,115
2018년 09월,3.6,1.7,1.1,6.4,105.7,2307.3,4235914,3644,90.5,3.3,29,12395,121.1
2018년 10월,3.5,1.7,1,6.8,105.5,2153.5,4237673,5856,91.1,3.3,28,10977,121.7
2018년 11월,3.2,1.7,1.2,6.8,104.7,2083.3,4239432,8509,91.7,3.3,28,3736,120.4
2018년 12월,3.4,1.9,1.1,6.8,104.4,2070.1,4241191,9176,92.1,3.2,27,2380,119
2019년 01월,4.5,1.9,1,6.5,104.2,2102,4242696,8065,92.5,3.1,27,1889,117.7
2019년 02월,4.7,1.9,1.1,6.2,104.7,2210.2,4244200,5307,92.7,3.1,50,1624,116.1
2019년 03월,4.3,1.9,0.7,6.8,104.5,2161.9,4245705,14885,93,3,770,1813,114.9
2019년 04월,4.4,1.9,0.7,6.6,104.9,2212.1,4247210,3443,93.4,3,292,2469,115.4
2019년 05월,4,1.8,0.6,6.6,105.1,2086.9,4248714,3377,93.8,2.9,178,3432,116.6
2019년 06월,4,1.8,0.7,6.7,104.9,2105.3,4250219,2566,94.2,2.7,123,4470,118.8
2019년 07월,3.9,1.7,0.9,6.6,104.6,2079.5,4251724,3764,94.7,2.6,190,7009,121.4
2019년 08월,3,1.5,0.8,6.8,104.8,1944.2,4253228,4331,95.1,2.5,205,8586,122.7
2019년 09월,3.1,1.5,0.5,7.6,105.2,2045.2,4254733,2661,95.6,2.5,207,7096,124.2
2019년 10월,3,1.5,0.6,7.5,105.5,2065.8,4256238,2987,96,2.5,191,8274,126
2019년 11월,3.1,1.5,0.5,7.7,104.9,2128.8,4257742,4275,96.5,2.5,176,10955,128.5
2019년 12월,3.4,1.5,0.6,7.9,105.1,2147,4259247,6611,97,2.5,151,14117,130.5
2020년 01월,4.1,1.5,0.8,7.8,105.8,2203.4,4260289,3417,97.4,2.5,131,10491,131.6
2020년 02월,4.1,1.4,0.5,8.2,105.8,2167.1,4261332,5651,97.8,2.5,112,9522,133.7
2020년 03월,4.2,1.2,0.4,8.4,105.5,1786.8,4262375,4617,98.2,2.5,91,9152,134.8
2020년 04월,4.2,1.1,0.1,9.1,105,1849.6,4263417,4340,98.5,2.6,78,3699,133.3
2020년 05월,4.5,1,0.1,9.9,104.7,1965.2,4264460,4124,98.8,2.5,70,4328,134.9
2020년 06월,4.3,0.8,0.2,9.9,104.9,2134.7,4265502,3659,99.2,2.5,61,11106,139.3
2020년 07월,4,0.8,0.4,10,104.9,2196,4266545,4425,99.6,2.5,58,16002,146.2
2020년 08월,3.1,0.7,0.4,9.5,105.5,2349.9,4267587,3086,100,2.4,56,6880,150.6
2020년 09월,3.6,0.6,0.6,9.2,106.2,2371.5,4268630,5232,100.4,2.3,54,4795,153.1
2020년 10월,3.7,0.6,-0.3,9.7,105.6,2357.8,4269672,7074,100.8,2.3,52,4320,154.9
2020년 11월,3.4,0.7,0.6,9.7,105.5,2504.2,4270715,4832,101.2,2.4,52,4725,157.2
2020년 12월,4.1,0.7,0.5,9.7,105.7,2504.2,4271757,4832,101.6,2.4,52,8764,159.4
